avgpathtokenlen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,CharacterContinuityRate,NumberRate_URL,NumberRate_FileName,NumberRate_AfterPath,Entropy_Domain,class
2.667,0.816,0.75,5.25,0.143,5.708,0.92,0.417,0.089,0.11,0.119,0.757,Defacement
10.833,0.761,0.022,0.133,0.163,4.667,0.029,0.533,0.283,0.393,-1,0.851,malware
5.077,0.859,0.022,0.333,0.065,13.167,0.025,0.667,0.098,0,-1,1,malware
5.2,0.744,0.024,0.143,0.171,4.357,0.033,0.786,0.049,0.121,-1,0.925,malware
3,0.333,0.061,0.133,0.455,0.733,0.182,0.533,0.091,0,-1,0.885,Defacement
2.667,0.852,0.766,8.167,0.094,9.083,0.899,0.75,0.047,0.056,0.061,0.843,Defacement
5.375,0.704,0.028,0.143,0.197,3.571,0.04,0.5,0.38,0.688,-1,0.836,malware
3,0.423,0.077,0.25,0.308,1.375,0.182,0.75,0.077,0,-1,1,Defacement
4.333,0.725,0.125,0.667,0.188,3.867,0.172,0.533,0.1,0.148,0.4,0.817,malware
4,0.758,0.505,2.941,0.172,4.412,0.667,0.647,0.434,0.556,0.7,0.816,malware
3.2,0.5,0.05,0.1,0.5,1,0.1,0.65,0,0,-1,0.806,malware
3.667,0.463,0.122,0.333,0.366,1.267,0.263,0.533,0.049,0.111,0.4,0.77,Defacement
2.667,0.671,0.546,2.182,0.25,2.682,0.814,0.546,0.057,0.086,0.104,0.829,Defacement
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.784,malware
5.125,0.659,0.061,0.238,0.256,2.571,0.093,0.714,0.012,0,0,0.87,malware
6.5,0.657,0.03,0.125,0.239,2.75,0.046,0.875,0,0,-1,0.875,Defacement
2.5,0.603,0.397,1.35,0.294,2.05,0.659,0.65,0,0,0,0.821,Defacement
2.667,0.782,0.699,4.227,0.165,4.727,0.894,0.546,0.053,0.068,0.075,0.829,Defacement
8.333,0.482,0.036,0.091,0.393,1.227,0.074,0.546,0,0,-1,0.814,Defacement
4.625,0.677,0.031,0.143,0.215,3.143,0.046,0.857,0.062,0,-1,0.925,malware
4.556,0.7,0.029,0.143,0.2,3.5,0.041,0.786,0.043,0.143,-1,0.925,malware
5.75,0.688,0.026,0.118,0.221,3.118,0.038,0.529,0.442,0.81,-1,0.856,malware
4.6,0.697,0.273,1.385,0.197,3.539,0.391,0.539,0.046,0,0,0.86,malware
1,0.703,0.635,3.133,0.203,3.467,0.904,0.533,0.054,0,0,0.817,malware
6.429,0.718,0.028,0.154,0.183,3.923,0.039,0.462,0.38,0.81,-1,0.818,malware
5.083,0.804,0.088,0.692,0.128,6.308,0.11,0.769,0.029,0.136,0.333,0.917,malware
3,0.727,0.53,3.182,0.167,4.364,0.729,0.727,0.03,0.056,0.057,0.947,malware
2.6,0.747,0.54,3.133,0.172,4.333,0.723,0.533,0.184,0.214,0.255,0.817,malware
4.625,0.611,0.028,0.095,0.292,2.095,0.046,0.714,0,0,-1,0.87,malware
3.7,0.687,0.03,0.143,0.209,3.286,0.044,0.5,0.209,0.375,-1,0.887,malware
4.714,0.677,0.088,0.4,0.221,3.067,0.13,0.733,0.5,0.783,1,0.817,malware
5.667,0.609,0.031,0.111,0.281,2.167,0.051,0.611,0,0,-1,0.814,malware
6.857,0.72,0.027,0.143,0.187,3.857,0.037,0.286,0.32,0.444,-1,0.784,malware
4.5,0.663,0.113,0.45,0.25,2.65,0.17,0.35,0.038,0.273,0.222,0.789,malware
1.333,0.207,0.069,0.125,0.552,0.375,0.333,0.563,0.138,0,-1,0.82,Defacement
4.2,0.791,0.555,3.813,0.146,5.438,0.701,0.563,0.055,0.079,0.098,0.75,malware
2.667,0.761,0.636,4,0.159,4.786,0.836,0.786,0.057,0.076,0.089,0.836,malware
5.636,0.802,0.022,0.182,0.121,6.636,0.027,0.727,0,0,-1,0.895,malware
2.667,0.859,0.806,7.546,0.107,8.046,0.938,0.409,0.097,0.114,0.121,0.788,Defacement
7.667,0.708,0.028,0.143,0.194,3.643,0.039,0.571,0.306,0.645,-1,0.873,malware
2.667,0.648,0.523,1.917,0.273,2.375,0.807,0.583,0.034,0.054,0.065,0.773,Defacement
2.667,0.761,0.636,4,0.159,4.786,0.836,0.786,0.057,0.076,0.089,0.836,malware
6.333,0.662,0.031,0.133,0.231,2.867,0.047,0.6,0.108,0,-1,0.829,malware
2.667,0.752,0.664,3.458,0.192,3.917,0.883,0.5,0.072,0.097,0.108,0.816,Defacement
3,0.727,0.53,3.182,0.167,4.364,0.729,0.727,0.03,0.056,0.057,0.947,malware
1,0.681,0.609,2.8,0.217,3.133,0.894,0.733,0.101,0,0,0.77,malware
2.667,0.746,0.646,3.381,0.191,3.905,0.866,0.714,0.036,0.049,0.056,0.802,Defacement
3.429,0.682,0.046,0.143,0.318,2.143,0.067,0.643,0,0,-1,0.775,malware
3,0.447,0.132,0.357,0.368,1.214,0.294,0.643,0.079,0.188,0.6,0.887,Defacement
4.667,0.704,0.028,0.143,0.197,3.571,0.04,0.786,0.042,0.136,-1,0.925,malware
2.667,0.691,0.556,2.5,0.222,3.111,0.804,0.667,0.025,0.036,0.044,0.857,Defacement
7.778,0.772,0.02,0.125,0.158,4.875,0.026,0.563,0.079,0.2,-1,0.832,malware
4.375,0.716,0.135,0.714,0.189,3.786,0.189,0.571,0.122,0.16,0.4,0.761,malware
3.375,0.672,0.149,0.667,0.224,3,0.222,0.733,0.299,0.381,0.4,0.77,malware
6.25,0.731,0.299,1.818,0.164,4.455,0.408,0.546,0.179,0.297,0.55,0.895,malware
5,0.869,0.014,0.167,0.083,10.5,0.016,0.75,0.028,-1,-1,0.954,malware
2.667,0.87,0.824,8.167,0.101,8.625,0.947,0.417,0.113,0.131,0.138,0.757,Defacement
3.75,0.529,0.059,0.222,0.265,2,0.111,0.667,0.088,0.375,-1,0.93,Defacement
4.546,0.741,0.025,0.143,0.173,4.286,0.033,0.786,0.049,0.125,-1,0.925,malware
7.8,0.672,0.031,0.143,0.219,3.071,0.047,0.786,0,0,-1,0.925,malware
2.667,0.713,0.575,2.875,0.2,3.563,0.807,0.813,0.038,0.054,0.065,0.863,Defacement
5.571,0.652,0.029,0.118,0.246,2.647,0.044,0.412,0.087,0.5,-1,0.834,Defacement
3.6,0.769,0.517,3.357,0.154,5,0.671,0.571,0.176,0.207,0.255,0.784,malware
2.667,0.778,0.691,4.143,0.167,4.667,0.888,0.524,0.079,0.103,0.115,0.832,Defacement
5.25,0.453,0.038,0.091,0.415,1.091,0.083,0.727,0.038,0.133,-1,0.862,Defacement
3.8,0.789,0.096,0.667,0.144,5.467,0.122,0.533,0.115,-1,0.4,0.817,malware
3.8,0.411,0.036,0.077,0.464,0.885,0.087,0.731,0,0,-1,0.746,malware
6.833,0.719,0.031,0.182,0.172,4.182,0.044,1,0.281,0.375,-1,0.823,malware
3,0.365,0.175,0.333,0.524,0.697,0.478,0.303,0.048,0.136,0.273,0.791,Defacement
2.667,0.738,0.631,3.25,0.194,3.8,0.855,0.4,0.019,0.027,0.031,0.789,Defacement
4.556,0.7,0.029,0.143,0.2,3.5,0.041,0.857,0.057,0,-1,0.925,malware
3.5,0.71,0.032,0.111,0.29,2.444,0.046,0.667,0,0,-1,0.767,malware
4.875,0.639,0.028,0.105,0.264,2.421,0.044,0.474,0.083,0.214,-1,0.734,Defacement
4.667,0.704,0.028,0.143,0.197,3.571,0.04,0.786,0.014,0.046,-1,0.925,malware
2.2,0.744,0.558,3.2,0.174,4.267,0.75,0.8,0.116,0.123,0.146,0.932,malware
2.667,0.765,0.672,3.81,0.177,4.333,0.879,0.524,0.076,0.1,0.113,0.832,Defacement
2.667,0.691,0.56,2.474,0.226,3.053,0.81,0.368,0.048,0.07,0.085,0.842,Defacement
3.25,0.308,0.039,0.069,0.558,0.552,0.125,0.897,0,0,-1,0.745,Defacement
2.667,0.727,0.584,3.214,0.182,4,0.804,0.786,0,0,0,0.836,malware
5.143,0.6,0.029,0.095,0.3,2,0.048,0.524,0.214,0.737,-1,0.84,malware
2.667,0.682,0.557,2.333,0.239,2.857,0.817,0.667,0.068,0.102,0.122,0.797,Defacement
5.111,0.747,0.115,0.667,0.172,4.333,0.154,0.8,0.046,0.143,0.4,0.898,malware
6.273,0.86,0.022,0.333,0.065,13.333,0.025,0.667,0.097,0,-1,1,malware
4.625,0.611,0.028,0.095,0.292,2.095,0.046,0.714,0.028,0.111,-1,0.87,malware
2.5,0.7,0.544,2.45,0.222,3.15,0.778,0.65,0.056,0.085,0.102,0.821,Defacement
3,0.775,0.606,4.778,0.127,6.111,0.782,0.667,0.113,0.148,0.186,1,malware
2.667,0.72,0.632,2.821,0.224,3.214,0.878,0.429,0.064,0.09,0.101,0.73,Defacement
10.833,0.761,0.022,0.133,0.163,4.667,0.029,0.533,0.283,0.393,-1,0.851,malware
7,0.702,0.03,0.154,0.194,3.615,0.043,0.769,0.164,0.375,-1,0.958,malware
3.5,0.818,0.692,5.211,0.133,6.158,0.846,0.421,0.049,0.064,0.071,0.833,Defacement
2.667,0.754,0.658,3.571,0.184,4.095,0.872,0.524,0.053,0.071,0.08,0.78,Defacement
4.7,0.776,0.194,1.267,0.153,5.067,0.25,0.8,0.061,0.188,0.316,0.898,malware
2.2,0.667,0.424,1.867,0.227,2.933,0.636,0.8,0.091,0.081,0.107,0.932,malware
5.667,0.629,0.032,0.125,0.258,2.438,0.051,0.875,0.048,1,-1,0.875,Defacement
3.333,0.595,0.286,1.2,0.238,2.5,0.48,0.7,0.095,0.167,0.333,0.94,Defacement
3.333,0.769,0.644,3.941,0.164,4.706,0.838,0.588,0.298,0.392,0.463,0.845,Defacement
5.143,0.656,0.031,0.133,0.234,2.8,0.048,0.8,0,0,-1,0.864,malware
4.333,0.756,0.049,0.2,0.244,3.1,0.065,0.8,0,0,-1,0.94,malware
2,0.429,0.143,0.353,0.405,1.059,0.333,0.588,0.071,0.177,0.5,0.845,Defacement
7.375,0.759,0.023,0.143,0.161,4.714,0.03,0.5,0.414,0.882,-1,0.836,malware
21.8,0.819,0.015,0.111,0.13,6.278,0.018,0.611,0.159,0.176,-1,0.883,malware
7,0.702,0.03,0.154,0.194,3.615,0.043,0.769,0.164,0.375,-1,0.958,malware
2.667,0.788,0.712,4.333,0.164,4.792,0.904,0.583,0.041,0.053,0.058,0.823,Defacement
2,0.539,0.452,1.13,0.4,1.348,0.839,0.326,0.13,0.17,0.173,0.748,malware
2.667,0.756,0.628,3.857,0.163,4.643,0.831,0.786,0.035,0.047,0.056,0.836,malware
5.308,0.863,0.021,0.333,0.063,13.667,0.024,0.667,0.095,0,-1,1,malware
2.667,0.761,0.667,3.714,0.18,4.238,0.876,0.524,0.06,0.08,0.09,0.832,Defacement
3.75,0.595,0.143,0.6,0.238,2.5,0.24,0.7,0.071,0.125,0.5,0.94,Defacement
5.6,0.745,0.408,2.222,0.184,4.056,0.548,0.611,0.01,0.02,0.025,0.883,Defacement
2.667,0.72,0.585,3,0.195,3.688,0.814,0.625,0.061,0.086,0.104,0.895,Defacement
4.6,0.677,0.265,1.2,0.221,3.067,0.391,0.733,0.103,0,0,0.77,malware
2,0.282,0.051,0.095,0.539,0.524,0.182,0.286,0.026,0.1,-1,0.802,Defacement
7,0.7,0.022,0.1,0.222,3.15,0.032,0.35,0.333,0.593,-1,0.821,malware
4.333,0.882,0.788,10.308,0.077,11.539,0.893,0.769,0.147,0.168,0.187,0.86,malware
4.2,0.791,0.555,3.813,0.146,5.438,0.701,0.563,0.055,0.079,0.098,0.75,malware
24.5,0.789,0.016,0.1,0.156,5.05,0.02,0.65,0.117,0.156,-1,0.821,malware
2.667,0.831,0.76,6.158,0.123,6.737,0.914,0.684,0.046,0.055,0.06,0.808,Defacement
3.467,0.786,0.102,0.714,0.143,5.5,0.13,0.714,0.133,-1,0.4,0.798,malware
4.333,0.744,0.128,0.769,0.167,4.462,0.172,0.539,0.09,0.148,0.4,0.86,malware
3.375,0.672,0.149,0.667,0.224,3,0.222,0.733,0.299,0.381,0.4,0.77,malware
3.4,0.539,0.051,0.111,0.462,1.167,0.095,0.667,0.026,0,-1,0.84,malware
3,0.513,0.103,0.333,0.308,1.667,0.2,1,0.231,0.071,0.25,0.684,Defacement
3.429,0.652,0.044,0.125,0.348,1.875,0.067,0.813,0.261,0,-1,0.801,malware
3.467,0.786,0.102,0.714,0.143,5.5,0.13,0.714,0.133,-1,0.4,0.798,malware
5.125,0.714,0.214,1,0.214,3.333,0.3,0.714,0.01,0,0,0.87,malware
7,0.702,0.03,0.154,0.194,3.615,0.043,0.769,0.164,0.375,-1,0.958,malware
2.6,0.747,0.54,3.133,0.172,4.333,0.723,0.533,0.184,0.214,0.255,0.817,malware
4.333,0.883,0.79,10.385,0.076,11.615,0.894,0.769,0.152,0.173,0.193,0.86,malware
3.25,0.643,0.238,1.25,0.191,3.375,0.37,1,0.191,0.191,0.4,0.917,Defacement
5.833,0.615,0.031,0.111,0.277,2.222,0.05,0.611,0,0,-1,0.814,malware
3,0.724,0.54,2.765,0.195,3.706,0.746,0.824,0.046,0.07,0.085,0.827,Defacement
5.091,0.759,0.023,0.143,0.161,4.714,0.03,0.786,0,0,-1,0.925,malware
2.667,0.82,0.721,6.154,0.117,7,0.879,0.539,0.054,0.067,0.075,0.818,Defacement
4.375,0.658,0.114,0.45,0.253,2.6,0.173,0.35,0.038,0.273,0.222,0.789,malware
9,0.756,0.026,0.167,0.154,4.917,0.034,0.583,0.474,0.568,-1,0.907,malware
3.375,0.672,0.149,0.667,0.224,3,0.222,0.733,0.299,0.381,0.4,0.77,malware
5.444,0.64,0.023,0.08,0.281,2.28,0.035,0.72,0,0,-1,0.774,malware
5.083,0.804,0.088,0.692,0.128,6.308,0.11,0.769,0.029,0.136,0.333,0.917,malware
3.75,0.514,0.057,0.2,0.286,1.8,0.111,0.7,0.029,0,-1,1,Defacement
4.625,0.667,0.111,0.45,0.247,2.7,0.167,0.35,0.037,0.273,0.222,0.789,malware
3,0.727,0.468,2.571,0.182,4,0.643,0.571,0.208,0.273,0.333,0.784,malware
2.667,0.812,0.747,5.08,0.147,5.52,0.92,0.44,0.041,0.051,0.055,0.832,Defacement
4.5,0.709,0.025,0.125,0.203,3.5,0.036,0.375,0.101,0,-1,0.832,Defacement
6,0.649,0.027,0.105,0.257,2.526,0.042,0.474,0.324,0.818,-1,0.808,malware
3.857,0.589,0.036,0.087,0.411,1.435,0.061,0.696,0.071,0,-1,0.805,malware
3,0.819,0.667,5.833,0.114,7.167,0.814,0.75,0.019,0.025,0.029,0.861,malware
2.2,0.741,0.553,3.133,0.177,4.2,0.746,0.8,0.106,0.107,0.128,0.932,malware
7,0.702,0.03,0.154,0.194,3.615,0.043,0.769,0.164,0.375,-1,0.958,malware
4.333,0.627,0.388,1.444,0.269,2.333,0.619,0.444,0.134,0.22,0.346,0.82,Defacement
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.798,malware
4.875,0.675,0.108,0.45,0.241,2.8,0.161,0.35,0.036,0.273,0.222,0.789,malware
3.5,0.552,0.241,0.737,0.328,1.684,0.438,0.632,0.052,0.125,0.214,0.743,Defacement
2.667,0.772,0.533,3.5,0.152,5.071,0.69,0.5,0.217,0.351,0.408,0.836,malware
2.667,0.644,0.493,1.895,0.26,2.474,0.766,0.632,0.192,0.304,0.389,0.817,malware
3,0.727,0.53,3.182,0.167,4.364,0.729,0.727,0.03,0.056,0.057,0.947,malware
3,0.821,0.67,5.917,0.113,7.25,0.816,0.75,0.028,0.037,0.042,0.861,malware
2.5,0.667,0.516,2,0.258,2.583,0.774,0.708,0.065,0.086,0.104,0.78,Defacement
9.167,0.732,0.024,0.133,0.183,4,0.033,0.533,0.317,0.44,-1,0.851,malware
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.784,malware
5,0.692,0.021,0.091,0.234,2.955,0.031,0.546,0.117,0,-1,0.809,malware
2.667,0.667,0.54,2.136,0.253,2.636,0.81,0.409,0.046,0.07,0.085,0.788,Defacement
3.5,0.768,0.607,3.579,0.17,4.526,0.791,0.632,0.045,0.064,0.074,0.743,Defacement
2.667,0.759,0.632,3.929,0.161,4.714,0.833,0.786,0.046,0.062,0.073,0.836,malware
2.667,0.75,0.64,3.556,0.18,4.167,0.853,0.667,0.05,0.068,0.078,0.84,Defacement
7.8,0.652,0.03,0.125,0.242,2.688,0.047,0.563,0.242,0.8,-1,0.863,malware
9.167,0.732,0.024,0.133,0.183,4,0.033,0.533,0.317,0.44,-1,0.851,malware
2.667,0.86,0.779,8.833,0.088,9.75,0.906,0.75,0.044,0.052,0.057,0.843,Defacement
2.125,0.7,0.029,0.143,0.2,3.5,0.041,0.5,0.2,0.186,-1,0.836,malware
5,0.702,0.03,0.154,0.194,3.615,0.043,0.462,0.284,0.577,-1,0.917,malware
5.667,0.403,0.105,0.212,0.493,0.818,0.259,0.333,0.015,0.056,0.143,0.785,Defacement
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.747,malware
3.5,0.807,0.642,5,0.128,6.286,0.796,0.571,0.037,0.05,0.057,0.784,Defacement
2.667,0.81,0.705,5.692,0.124,6.539,0.871,0.539,0.076,-1,-1,0.818,Defacement
4.2,0.791,0.555,3.813,0.146,5.438,0.701,0.563,0.055,0.079,0.098,0.75,malware
1.667,0.233,0.067,0.125,0.533,0.438,0.286,0.625,0,0,-1,0.82,Defacement
6.125,0.659,0.024,0.091,0.259,2.546,0.036,0.682,0,0,-1,0.801,malware
6.385,0.805,0.017,0.125,0.136,5.938,0.021,0.313,0.331,0.45,-1,0.832,malware
2.25,0.682,0.534,2.238,0.239,2.857,0.783,0.714,0.046,0.07,0.085,0.797,Defacement
2.667,0.772,0.533,3.5,0.152,5.071,0.69,0.5,0.217,0.351,0.408,0.836,malware
2.667,0.775,0.676,4.167,0.162,4.778,0.872,0.833,0.09,0.118,0.133,0.867,Defacement
3,0.727,0.53,3.182,0.167,4.364,0.729,0.727,0.03,0.056,0.057,0.947,malware
5.444,0.64,0.023,0.08,0.281,2.28,0.035,0.72,0,0,-1,0.774,malware
4.4,0.671,0.025,0.105,0.241,2.79,0.038,0.632,0.304,0.765,-1,0.833,malware
3.1,0.708,0.139,0.714,0.194,3.643,0.196,0.571,0.125,0.167,0.4,0.723,malware
3.5,0.575,0.192,0.692,0.277,2.077,0.333,0.462,0.085,0.154,0.444,0.751,Defacement
5,0.621,0.03,0.111,0.273,2.278,0.049,0.889,0.015,0,-1,0.787,malware
6.833,0.719,0.031,0.182,0.172,4.182,0.044,1,0.281,0.375,-1,0.823,malware
2.5,0.489,0.192,0.529,0.362,1.353,0.391,0.588,0.021,0.056,0.111,0.788,Defacement
4.625,0.611,0.028,0.095,0.292,2.095,0.046,0.714,0,0,-1,0.87,malware
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.784,malware
4.143,0.66,0.038,0.182,0.208,3.182,0.057,0.727,0.057,0,-1,0.895,Defacement
5.667,0.609,0.031,0.111,0.281,2.167,0.051,0.611,0,0,-1,0.814,malware
5.571,0.692,0.031,0.154,0.2,3.462,0.044,0.769,0,0,-1,0.818,malware
4.444,0.632,0.026,0.095,0.276,2.286,0.042,0.714,0.026,0.1,-1,0.87,malware
2.333,0.46,0.189,0.539,0.351,1.308,0.412,0.462,0.108,0.25,0.571,0.776,Defacement
4.75,0.692,0.031,0.154,0.2,3.462,0.044,0.846,0,0,-1,0.818,malware
7.167,0.696,0.029,0.143,0.203,3.429,0.042,0.5,0.319,0.8,-1,0.798,malware
4.75,0.634,0.028,0.105,0.268,2.368,0.044,0.474,0.042,0,-1,0.892,malware
5.167,0.594,0.058,0.191,0.304,1.952,0.098,0.714,0.029,0.111,0.25,0.87,malware
4.571,0.857,0.022,0.333,0.066,13,0.026,0.667,0.132,0.046,-1,1,malware
4.455,0.648,0.022,0.08,0.275,2.36,0.034,0.6,0.022,0.071,-1,0.757,Defacement
2.333,0.719,0.547,3.182,0.172,4.182,0.761,0.727,0.031,0.056,0.057,0.947,malware
2.333,0.719,0.547,3.182,0.172,4.182,0.761,0.727,0.031,0.056,0.057,0.947,malware
3,0.63,0.37,1.7,0.217,2.9,0.586,1,0.174,0.071,0.118,0.88,Defacement
6.167,0.618,0.029,0.105,0.279,2.211,0.048,0.632,0.059,0,-1,0.867,malware
2.667,0.68,0.567,2.292,0.247,2.75,0.833,0.583,0.052,0.077,0.091,0.766,Defacement
3.5,0.75,0.577,3.158,0.183,4.105,0.769,0.632,0.01,0.014,0.017,0.743,Defacement
3.75,0.725,0.488,2.6,0.188,3.867,0.672,0.6,0.2,0.327,0.41,0.77,malware
3.778,0.618,0.029,0.105,0.279,2.211,0.048,0.474,0.044,0,-1,0.892,malware
4.6,0.687,0.269,1.286,0.209,3.286,0.391,0.714,0.09,0,0,0.784,malware
4,0.68,0.04,0.222,0.18,3.778,0.059,0.667,0.24,0.286,-1,1,Defacement
5.3,0.681,0.022,0.091,0.242,2.818,0.032,0.682,0,0,-1,0.801,malware
3.4,0.784,0.103,0.714,0.144,5.429,0.132,0.714,0.134,-1,0.4,0.784,malware
4.143,0.847,0.024,0.333,0.071,12,0.028,0.667,0.153,0.068,-1,1,malware
5.556,0.683,0.099,0.4,0.248,2.76,0.145,0.72,0.04,0.154,0.4,0.774,malware
2.8,0.4,0.044,0.074,0.6,0.667,0.111,0.889,0.044,0,-1,0.817,malware
2.667,0.772,0.533,3.5,0.152,5.071,0.69,0.5,0.217,0.351,0.408,0.836,malware
2.667,0.622,0.378,1.7,0.222,2.8,0.607,1,0.178,0.074,0.118,0.88,Defacement
2.667,0.691,0.577,2.435,0.237,2.913,0.836,0.565,0.052,0.076,0.089,0.805,Defacement
3,0.385,0.051,0.118,0.436,0.882,0.133,0.647,0,0,-1,0.806,Defacement
4.444,0.696,0.029,0.143,0.203,3.429,0.042,0.5,0.348,-1,-1,0.925,malware
19.5,0.786,0.019,0.133,0.146,5.4,0.025,0.533,0.126,0.132,-1,0.795,malware
2.667,0.814,0.717,5.786,0.124,6.571,0.88,0.786,0.053,0.066,0.074,0.963,Defacement
6.833,0.719,0.031,0.182,0.172,4.182,0.044,1,0.281,0.375,-1,0.823,malware
5.077,0.859,0.022,0.333,0.065,13.167,0.025,0.667,0.098,0,-1,1,malware
2.667,0.772,0.703,3.828,0.184,4.207,0.91,0.793,0.025,0.033,0.036,0.743,Defacement
2.75,0.821,0.692,5.786,0.12,6.857,0.844,0.357,0.068,0.088,0.099,0.836,Defacement
